class_folder,class_name,filename,severity_ratio,severity_percent,grade,leaf_pixels,disease_pixels
Tomato___Bacterial_spot,Bacterial Spot,022e8a4a-9297-4de3-88a5-ee7aa46dd526___UF.GRC_BS_Lab Leaf 8682_final_masked.jpg,0.0046,0.46,Mild,21453,99
Tomato___Bacterial_spot,Bacterial Spot,030501db-683b-4ed5-9ec0-c475a5dfdd76___GCREC_Bact.Sp 5650_final_masked.jpg,0.0,0.0,Mild,23900,0
Tomato___Bacterial_spot,Bacterial Spot,057e3333-e63f-4259-888e-12869cc457c7___GCREC_Bact.Sp 3317_final_masked.jpg,0.0257,2.57,Mild,22629,581
Tomato___Bacterial_spot,Bacterial Spot,05fc994d-7781-4dc5-a15c-b359f6c681a6___GCREC_Bact.Sp 6304_final_masked.jpg,0.0006,0.06,Mild,26878,17
Tomato___Bacterial_spot,Bacterial Spot,070228e2-ba4e-4de8-813b-074e51ed6f5a___UF.GRC_BS_Lab Leaf 0661_final_masked.jpg,0.0048,0.48,Mild,15267,74
Tomato___Bacterial_spot,Bacterial Spot,0893cbc5-7c6f-4ed2-863a-78f0bdb31ba0___GCREC_Bact.Sp 6174_final_masked.jpg,0.0,0.0,Mild,24299,0
Tomato___Bacterial_spot,Bacterial Spot,0b233197-cd35-4031-80c2-610e7e3a046b___GCREC_Bact.Sp 6095_final_masked.jpg,0.0,0.0,Mild,24744,0
Tomato___Bacterial_spot,Bacterial Spot,0e3ded7b-0b9e-4c11-9db7-38eba7e0bdb2___GCREC_Bact.Sp 3598_final_masked.jpg,0.0,0.0,Mild,31460,0
Tomato___Bacterial_spot,Bacterial Spot,0e591ff9-a58f-4748-ac0f-984233f441af___GCREC_Bact.Sp 3292_final_masked.jpg,0.0,0.0,Mild,20253,0
Tomato___Bacterial_spot,Bacterial Spot,0e94696b-3e0d-4d4c-a712-01197e228cf1___UF.GRC_BS_Lab Leaf 8641_final_masked.jpg,0.0122,1.22,Mild,23382,286
Tomato___Bacterial_spot,Bacterial Spot,0f81cc91-5b9b-4061-a127-74105ebbcccf___GCREC_Bact.Sp 6305_final_masked.jpg,0.0015,0.15,Mild,24883,37
Tomato___Bacterial_spot,Bacterial Spot,11fab8c8-08bb-476a-956b-cbf38b368643___UF.GRC_BS_Lab Leaf 8737_final_masked.jpg,0.0014,0.14,Mild,21852,30
Tomato___Bacterial_spot,Bacterial Spot,12eda6e1-d42f-4e52-b04f-ff4f4d932783___GCREC_Bact.Sp 6275_final_masked.jpg,0.0011,0.11,Mild,24561,27
Tomato___Bacterial_spot,Bacterial Spot,137ffef0-7f3d-4610-82f5-f59f9826b926___UF.GRC_BS_Lab Leaf 9109_final_masked.jpg,0.0371,3.71,Mild,17134,635
Tomato___Bacterial_spot,Bacterial Spot,149fd0ef-ec5a-4a34-aa8f-8ed381b7d77d___GCREC_Bact.Sp 3370_final_masked.jpg,0.0,0.0,Mild,20754,0
Tomato___Bacterial_spot,Bacterial Spot,15d45247-ffcd-4d50-87a1-5f0527e451e9___GCREC_Bact.Sp 3763_final_masked.jpg,0.0007,0.07,Mild,27487,19
Tomato___Bacterial_spot,Bacterial Spot,176ee70d-778e-4f49-a761-67271feff912___GCREC_Bact.Sp 5976_final_masked.jpg,0.0,0.0,Mild,26171,0
Tomato___Bacterial_spot,Bacterial Spot,19a4a07c-5e82-4a4f-bc64-9f7d941cab88___GCREC_Bact.Sp 3515_final_masked.jpg,0.0,0.0,Mild,24029,0
Tomato___Bacterial_spot,Bacterial Spot,1ade5ae9-2b62-4d53-86ae-fee9d3d9a7e9___UF.GRC_BS_Lab Leaf 0777_final_masked.jpg,0.1145,11.45,Mild,20883,2391
Tomato___Bacterial_spot,Bacterial Spot,1aeee055-1c5f-4aab-a4af-bfe860f7dc46___GCREC_Bact.Sp 3034_final_masked.jpg,0.0242,2.42,Mild,27606,669
Tomato___Bacterial_spot,Bacterial Spot,1bfdc27c-5d3b-4b96-a835-86a09fe407de___GCREC_Bact.Sp 6266_final_masked.jpg,0.003,0.3,Mild,25223,76
Tomato___Bacterial_spot,Bacterial Spot,1eca836c-208e-40a8-a69c-fb7232d92368___GCREC_Bact.Sp 6110_final_masked.jpg,0.0,0.0,Mild,22339,0
Tomato___Bacterial_spot,Bacterial Spot,2012f5c2-8a5a-4307-b2f6-f8cc65dea96d___GCREC_Bact.Sp 6350_final_masked.jpg,0.0003,0.03,Mild,23261,8
Tomato___Bacterial_spot,Bacterial Spot,239fc305-ce59-48d4-9322-13669b141fa4___GCREC_Bact.Sp 3174_final_masked.jpg,0.0018,0.18,Mild,27352,50
Tomato___Bacterial_spot,Bacterial Spot,27637c36-4f67-429c-97a0-39d035f3fd38___UF.GRC_BS_Lab Leaf 8864_final_masked.jpg,0.0094,0.94,Mild,23469,221
Tomato___Bacterial_spot,Bacterial Spot,2d774052-b20a-441e-8ac1-f35239810e67___UF.GRC_BS_Lab Leaf 0336_final_masked.jpg,0.0007,0.07,Mild,15246,11
Tomato___Bacterial_spot,Bacterial Spot,2e604e19-fcb1-4d3c-9c04-4b154e1ca480___UF.GRC_BS_Lab Leaf 9241_final_masked.jpg,0.0672,6.72,Mild,20934,1406
Tomato___Bacterial_spot,Bacterial Spot,30374887-5005-4023-a9af-62af0d0c2872___GCREC_Bact.Sp 3822_final_masked.jpg,0.0,0.0,Mild,24178,0
Tomato___Bacterial_spot,Bacterial Spot,311a6db6-e3a0-4e8c-bd17-9cbc62217770___GCREC_Bact.Sp 3107_final_masked.jpg,0.0,0.0,Mild,21026,0
Tomato___Bacterial_spot,Bacterial Spot,32198276-01c5-4088-bb55-2ccae3c95c87___GCREC_Bact.Sp 3015_final_masked.jpg,0.0002,0.02,Mild,21623,5
Tomato___Bacterial_spot,Bacterial Spot,3381632e-1e9b-4141-b6a2-b42c8fd06c87___GCREC_Bact.Sp 6009_final_masked.jpg,0.0,0.0,Mild,20114,0
Tomato___Bacterial_spot,Bacterial Spot,383335dc-fb2e-481c-a66f-9194f2715d92___UF.GRC_BS_Lab Leaf 0904_final_masked.jpg,0.0233,2.33,Mild,25215,587
Tomato___Bacterial_spot,Bacterial Spot,3c42263c-39eb-4e33-bf35-6694cb1eb973___GCREC_Bact.Sp 6106_final_masked.jpg,0.0,0.0,Mild,24710,0
Tomato___Bacterial_spot,Bacterial Spot,3e4ca861-5f1d-43c1-9b31-225455da4533___GCREC_Bact.Sp 3098_final_masked.jpg,0.0024,0.24,Mild,19780,47
Tomato___Bacterial_spot,Bacterial Spot,40889410-0558-4ac6-a92c-7b715a603329___GCREC_Bact.Sp 3847_final_masked.jpg,0.0012,0.12,Mild,28048,33
Tomato___Bacterial_spot,Bacterial Spot,40c4a7ad-c8f9-4a58-986c-7de59a3189a8___GCREC_Bact.Sp 3415_final_masked.jpg,0.0015,0.15,Mild,26847,41
Tomato___Bacterial_spot,Bacterial Spot,41128d1d-2a43-4c08-a100-c92c2fc8b9b0___GCREC_Bact.Sp 3413_final_masked.jpg,0.0068,0.68,Mild,24096,165
Tomato___Bacterial_spot,Bacterial Spot,4126165c-f9e0-4a17-9d87-d41bf356afb9___GCREC_Bact.Sp 3517_final_masked.jpg,0.0,0.0,Mild,25054,0
Tomato___Bacterial_spot,Bacterial Spot,4128179b-06ee-4ad1-b2a9-792c448f5eb8___UF.GRC_BS_Lab Leaf 0219_final_masked.jpg,0.0237,2.37,Mild,15709,372
Tomato___Bacterial_spot,Bacterial Spot,44ddc088-1234-4cc8-aa29-e695104a7d1b___GCREC_Bact.Sp 6162_final_masked.jpg,0.0733,7.33,Mild,22287,1633
Tomato___Bacterial_spot,Bacterial Spot,456afc9b-bdae-4506-a04f-aa228de3dd2b___GCREC_Bact.Sp 3548_final_masked.jpg,0.0,0.0,Mild,29955,0
Tomato___Bacterial_spot,Bacterial Spot,458fa745-af8d-48e2-aa5e-06b60f722f30___GCREC_Bact.Sp 6206_final_masked.jpg,0.0055,0.55,Mild,28325,155
Tomato___Bacterial_spot,Bacterial Spot,48ea939e-918d-4cc2-8285-267811f84914___GCREC_Bact.Sp 3634_final_masked.jpg,0.0011,0.11,Mild,21436,23
Tomato___Bacterial_spot,Bacterial Spot,49c34c1b-08a8-4bdd-a933-0eb4daff5f97___GCREC_Bact.Sp 3501_final_masked.jpg,0.0,0.0,Mild,26753,0
Tomato___Bacterial_spot,Bacterial Spot,4d0f643a-df33-432c-950f-141b23e21094___GCREC_Bact.Sp 3312_final_masked.jpg,0.0,0.0,Mild,23306,0
Tomato___Bacterial_spot,Bacterial Spot,4fbd7787-b45b-4614-916f-4c063f164046___GCREC_Bact.Sp 3759_final_masked.jpg,0.037,3.7,Mild,26028,964
Tomato___Bacterial_spot,Bacterial Spot,513411b7-3388-4d3f-b1d2-6fe67b11a5ec___GCREC_Bact.Sp 5814_final_masked.jpg,0.0,0.0,Mild,28600,0
Tomato___Bacterial_spot,Bacterial Spot,58b4de6b-90af-4c5b-a95b-3fdd953c9255___GCREC_Bact.Sp 5830_final_masked.jpg,0.0,0.0,Mild,24782,0
Tomato___Bacterial_spot,Bacterial Spot,5b2bff7b-208c-4ec6-adfd-b60b081916c1___GCREC_Bact.Sp 5955_final_masked.jpg,0.0,0.0,Mild,26590,0
Tomato___Bacterial_spot,Bacterial Spot,5c0765db-6fdc-45f1-b714-1f6906856761___GCREC_Bact.Sp 5736_final_masked.jpg,0.0,0.0,Mild,18201,0
Tomato___Bacterial_spot,Bacterial Spot,5e1bc867-05f6-4749-af57-60a73435bba2___GCREC_Bact.Sp 6027_final_masked.jpg,0.0,0.0,Mild,22507,0
Tomato___Bacterial_spot,Bacterial Spot,612a4230-6e25-4506-a91c-86854d203205___UF.GRC_BS_Lab Leaf 0756_final_masked.jpg,0.0285,2.85,Mild,23778,678
Tomato___Bacterial_spot,Bacterial Spot,615a9d50-74d8-4435-af2c-459d8f97e453___GCREC_Bact.Sp 5676_final_masked.jpg,0.0019,0.19,Mild,23215,43
Tomato___Bacterial_spot,Bacterial Spot,64110a6c-c670-435f-8264-3cd5d45250cb___GCREC_Bact.Sp 6289_final_masked.jpg,0.0084,0.84,Mild,23350,196
Tomato___Bacterial_spot,Bacterial Spot,66348a1f-6ca3-43c3-9883-ccf79c8dec89___GCREC_Bact.Sp 3640_final_masked.jpg,0.0006,0.06,Mild,19217,12
Tomato___Bacterial_spot,Bacterial Spot,68b70241-b295-4f1b-b28b-b15cc3e997d3___UF.GRC_BS_Lab Leaf 8601_final_masked.jpg,0.0018,0.18,Mild,21616,39
Tomato___Bacterial_spot,Bacterial Spot,6d0cbb2e-599e-4637-bb5f-8641dc17e6fb___GCREC_Bact.Sp 3386_final_masked.jpg,0.0,0.0,Mild,21311,0
Tomato___Bacterial_spot,Bacterial Spot,6d0dd572-9911-4c87-8493-7dde760c19bf___GCREC_Bact.Sp 3055_final_masked.jpg,0.0,0.0,Mild,23265,0
Tomato___Bacterial_spot,Bacterial Spot,6dbfe52b-be4e-47e2-9fe6-19d536d3a67a___GCREC_Bact.Sp 3164_final_masked.jpg,0.0,0.0,Mild,28189,0
Tomato___Bacterial_spot,Bacterial Spot,6e8eb50a-bb41-4bbd-a9f1-a6c829429cbc___GCREC_Bact.Sp 5891_final_masked.jpg,0.0005,0.05,Mild,20101,10
Tomato___Bacterial_spot,Bacterial Spot,6fba21aa-5e08-4072-af5c-1ffb9cf67c92___GCREC_Bact.Sp 5551_final_masked.jpg,0.0062,0.62,Mild,23435,146
